# MINERvA Open Data per-file POT, read from each file's Meta tree over XRootD on 2026-09-14
beam	kind	playlist	tag	url	pot_used	pot_total	n_meta_entries	total_reco_entries	total_truth_entries	error
FHC	data	1A	data10000	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010000_Playlist.root	6.085272403092384e+17	6.202769761924488e+17	1	18753		
FHC	data	1A	data10001	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010001_Playlist.root	6.001858523979187e+17	6.030052052657312e+17	1	18619		
FHC	data	1A	data10002	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010002_Playlist.root	5.2850685500383366e+17	5.3148602674132045e+17	1	16556		
FHC	data	1A	data10003	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010003_Playlist.root	3.487697268371582e+17	3.5190234709087597e+17	1	10969		
FHC	data	1A	data10004	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010004_Playlist.root	5.875553275823594e+17	5.875558729624356e+17	1	18617		
FHC	data	1A	data10005	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010005_Playlist.root	5.909810395236015e+17	5.94023155252721e+17	1	18374		
FHC	data	1A	data10006	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010006_Playlist.root	5.5363468492317203e+17	5.818855173217082e+17	1	17260		
FHC	data	1A	data10007	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010007_Playlist.root	5.521956131687165e+17	5.5892546336507757e+17	1	17311		
FHC	data	1A	data10008	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010008_Playlist.root	4.5741632135796544e+17	4.574413343800204e+17	1	14486		
FHC	data	1A	data10010	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010010_Playlist.root	5.783551254177093e+17	5.813803319916474e+17	1	17690		
FHC	data	1A	data10011	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010011_Playlist.root	6.01632279410839e+17	6.016330209737594e+17	1	18784		
FHC	data	1A	data10012	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010012_Playlist.root	5.970784380788803e+17	6.001103000513816e+17	1	18457		
FHC	data	1A	data10013	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010013_Playlist.root	5.811471745843887e+17	5.811652616274337e+17	1	18108		
FHC	data	1A	data10014	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010014_Playlist.root	5.755719609594344e+17	5.786329543302299e+17	1	17937		
FHC	data	1A	data10015	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010015_Playlist.root	6.04233380513668e+17	6.074303671370715e+17	1	18585		
FHC	data	1A	data10016	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010016_Playlist.root	6.185065155115127e+17	6.185154110319231e+17	1	19178		
FHC	data	1A	data10017	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010017_Playlist.root	6.160931014795304e+17	6.191512883268361e+17	1	19349		
FHC	data	1A	data10018	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010018_Playlist.root	6.245232537889481e+17	6.245234927080727e+17	1	19381		
FHC	data	1A	data10019	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010019_Playlist.root	5.3035180711317056e+17	5.334753847764789e+17	1	16514		
FHC	data	1A	data10020	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010020_Playlist.root	6.06382480603218e+17	6.06384928764936e+17	1	18652		
FHC	data	1A	data10021	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010021_Playlist.root	6.240575120010376e+17	6.251859785343324e+17	1	19439		
FHC	data	1A	data10022	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010022_Playlist.root	5.760374952259063e+17	5.7604417159823136e+17	1	18072		
FHC	data	1A	data10023	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010023_Playlist.root	6.156730621681213e+17	6.187861483588366e+17	1	19188		
FHC	data	1A	data10024	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010024_Playlist.root	6.148316835699082e+17	6.17961108345562e+17	1	18989		
FHC	data	1A	data10025	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010025_Playlist.root	6.037051748628616e+17	6.037116142628594e+17	1	18708		
FHC	data	1A	data10026	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010026_Playlist.root	6.043020788216593e+17	6.064709993837083e+17	1	18889		
FHC	data	1A	data10027	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010027_Playlist.root	6.17276680281639e+17	6.213545668947968e+17	1	19238		
FHC	data	1A	data10028	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010028_Playlist.root	4.034089598140717e+17	4.034273442280238e+17	1	12442		
FHC	data	1A	data10031	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010031_Playlist.root	1.1964363092422486e+16	1.1964391083783704e+16	1	392		
FHC	data	1A	data10032	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010032_Playlist.root	8855229896545411.0	8855229896545411.0	1	257		
FHC	data	1A	data10034	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010034_Playlist.root	2.8738960990905764e+16	2.8739002085681076e+16	1	895		
FHC	data	1A	data10035	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010035_Playlist.root	1.113039698791504e+16	1.113039698791504e+16	1	335		
FHC	data	1A	data10036	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010036_Playlist.root	3.429078038225174e+17	5.897573783441313e+17	1	10737		
FHC	data	1A	data10037	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010037_Playlist.root	5.048778673782349e+17	6.122172029533084e+17	1	15599		
FHC	data	1A	data10038	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010038_Playlist.root	6.244069406948088e+17	6.279766049964744e+17	1	19529		
FHC	data	1A	data10039	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010039_Playlist.root	5.7145420970964454e+17	5.714886210011541e+17	1	17709		
FHC	data	1A	data10040	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010040_Playlist.root	6.032172899875642e+17	6.043745723544969e+17	1	18740		
FHC	data	1A	data10041	root://fndcadoor.fnal.gov:1095/pnfs/fnal.gov/usr/minerva/persistent/OpenData/MediumEnergy_FHC/Data/Playlist1A/MasterAnaDev_data_AnaTuple_run00010041_Playlist.root	6.137281770515442e+17	6.169566122987162e+17	1	18827		
